Module level,Tier 1,Tier 2,Tier 3,Tier 4
Approval,My tasks,,,
,My history,,,
,Task overview,,,
,Process overview,,,
,Document overview,,,
,Settings,Notifications,,
,,Substitute,,
,,Preferences,,
,Configuration,Cost units,,
,,Departments,,
,,Due settings,,
,,Managers,,
,,Projects,,
,,Roles,,
,,Substitutes,,
,,Workflows,,
